titulo,popularidade,nota_media,generos
Diário Proibido,15.2049,5.6,"Romance, Drama"
OLIVIA RODRIGO: dirigindo até você (a SOUR film),15.2042,7.8,"Música, Documentário"
Kaskasero,15.1991,6.8,Drama
Looking Through Water,15.1531,5.8,Drama
O Hobbit: Uma Jornada Inesperada,15.1335,7.362,"Ação, Aventura, Fantasia"
Piratas do Caribe: No Fim do Mundo,15.1091,7.262,"Fantasia, Aventura, Ação"
Homem-Aranha 3,15.0914,6.445,"Aventura, Ação, Ficção científica"
Tron: O Legado,15.0831,6.51,"Ação, Ficção científica, Aventura"
O Rolo Compressor do Mickey,15.07,6.4,"Animação, Comédia"
Hanna D. - La ragazza del Vondel Park,15.0677,3.9,Drama
Um Maluco no Golfe 2,15.0675,6.6,Comédia
À Espera de um Milagre,15.0244,8.503,"Crime, Drama, Fantasia"
De Amor e de Sombras,14.9973,5.3,Drama
A Grande Inundação,14.9962,9.0,"Aventura, Ficção científica, Ação"
I Don't Understand You,14.9876,6.048,"Comédia, Terror"
Caçador de Mutantes,14.9731,5.5,"Ação, Ficção científica"
HOMECOMING: A film by Beyoncé,14.9684,8.1,"Documentário, Música"
Cinderela,14.9654,6.825,"Família, Romance, Fantasia, Drama"
애첩,14.9318,5.0,Drama
Todos Menos Você,14.8643,6.836,"Comédia, Romance"
Shaman,14.7995,5.7,Terror
WALL-E,14.7975,8.103,"Família, Animação, Ficção científica"
Toy Story 2,14.7897,7.602,"Animação, Família, Comédia"
O Quinto Elemento,14.7845,7.558,"Ficção científica, Aventura, Ação"
Bad Boys: Até o Fim,14.7306,7.36,"Comédia, Ação, Aventura, Thriller, Crime"
Belyas,14.6931,7.5,Drama
A Menina dos Meus Olhos,14.6908,8.558,"Comédia, Drama, Romance"
Sociedade dos Poetas Mortos,14.6774,8.301,Drama
When Jeff Tried to Save the World,14.6717,5.7,"Drama, Comédia"
Como Sobreviver a um Ataque Zumbi,14.6022,6.546,"Comédia, Terror"
Ameaça no Ar,14.5825,6.0,"Ação, Thriller"
Homem de Ferro 3,14.5806,6.929,"Ação, Ficção científica, Aventura"
热带夜晚,14.5772,9.0,"Mistério, Thriller, Romance"
As Branquelas,14.5703,6.929,"Comédia, Crime"
A Serbian Film - Terror sem Limites,14.5666,5.45,"Thriller, Crime, Terror"
